cik,ticker,revenue_2021_millions_usd,employees_2021
1744489,DIS,67418,190000
1467858,GM,127004,158000
277135,GWW,11664,25000
851968,MHK,10241,42000
1335258,LYV,6005,11000
1300514,LVS,4218,52000
21076,CLX,7341,8700
1420529,AACG,16,200
6201,AAL,17823,100100
8177,AAME,55,200
1158114,AAOI,50,750
824142,AAON,600,4200
320193,AAPL,365817,154000
943034,AATC,120,1000
1135185,AAWW,1946,1900
1844817,AACI,0,50
1422142,AADI,5,50
318306,ABEO,6,80
1559720,ABNB,5992,6100
907654,ABIO,15,100
815094,ABMD,1053,1500
1576885,ABOS,5,80
1672688,ABSI,50,400
1642081,ABTX,280,1000
1447028,ABUS,20,100
1173313,ABVC,5,50
1070494,ACAD,531,500
1914023,ACAC,0,20
1481646,ACCD,130,1000
1720580,ACET,15,150
1703057,ABCL,100,500
351569,ABCB,200,800
1813658,ACEV,0,20
1830749,ACHL,300,1500
1520697,ACHC,3885,40000
935036,ACIW,1300,4500
1113232,ACLS,700,2200
1651625,ACIU,15,100
949858,ACHV,20,200
1680062,ACMR,200,700
1008848,ACOR,500,700
715579,ACNB,140,500
1557746,ACRS,20,200
1427925,ACRX,70,250
1823529,ACT,100,500
934549,ACTG,350,250
1637873,ACVA,80,300
1818838,ADAG,30,300
1736243,ACXP,10,150
796343,ADBE,15785,26000
1621227,ADAP,30,300
1368514,ADMA,100,500
1515156,ADES,180,450
6281,ADI,7318,16000
1513525,ADIL,10,80
887247,ADMP,20,150
1069308,ACER,15,100
1824884,ADOC,0,20
1468328,ADUS,400,6000
947484,ACGL,3244,14000
1478320,ADPT,200,600
769397,ADSK,4390,13050
8670,ADP,15882,58000
1726711,ADTX,5,50
1776661,ADV,200,800
1501756,ADVM,20,150
1040470,AEHR,50,200
1470683,AEHL,100,400
1750106,AEI,100,300
927003,AEIS,800,3000
4904,AEP,16455,17000
882291,AEMD,5,80
1708341,AESE,30,200
1362190,AEYE,30,200
1337553,AERI,200,600
874292,AEY,300,1000
1841661,AFAQ,0,20
1608390,AFMD,30,200
1822523,AFCG,100,100
1823406,AFBI,100,400
1820953,AFRM,765,1600
1522860,AFIB,20,200
1098972,AGEN,100,600
1771007,AFYA,370,4500
1592016,AGFS,100,500
1800637,AGFY,50,300
1790625,AGIL,50,300
1705402,AGMH,30,150
1439222,AGIO,230,800
1636282,AGLE,20,150
1423689,AGNC,2100,80
1826397,AGRI,100,500
1261249,AGRX,5,80
78749,AGYS,200,1500
1273636,AGTC,10,150
1725255,AHCO,800,6500
874710,AHPI,30,200
1882963,AIB,50,200
926282,ADTN,600,2100
1744494,ADN,30,200
12239,AIKI,10,80
1826574,AKIC,0,20
1667011,AIP,0,20
1744659,AKRO,20,200
353184,AIRT,200,900
1374535,AIMC,200,1200
1517022,AKBA,30,300
1272842,AIRG,90,700
1870940,AIRS,10,100
1086222,AKAM,3461,10200
1776197,AKU,400,2000
1722271,AKUS,20,150
1584754,AKTS,50,300
1541157,AKTX,5,80
1322505,ALBO,15,80
1711933,AKYA,50,300
3545,ALCO,200,900
1341235,ALDX,10,100
1653087,ALEC,10,100
866291,ALGM,600,2400
1833908,ALF,100,400
1097149,ALGN,3950,12000
1799448,ALGS,50,300
1832466,ALHC,200,1800
1520262,ALKS,970,1700
1267602,ALIM,20,150
1362468,ALGT,540,3500
1757143,AIH,100,500
1529274,ALKT,30,200
