cik,ticker,name,exchange,industry,revenue_M,employees,environment_grade,environment_level,environment_score,social_grade,social_level,social_score,governance_grade,governance_level,governance_score,total_grade,total_level,total_score,last_processing_date
0001744489,DIS,Walt Disney Co,NYSE,Media,67418.0,190000,A,High,510,BB,Medium,316,BB,Medium,321,BBB,High,1147,2022-04-19
0001467858,GM,General Motors Co,NYSE,Automobiles,127004.0,158000,A,High,510,BB,Medium,303,B,Medium,255,BBB,High,1068,2022-04-17
0000277135,GWW,WW Grainger Inc,NYSE,Trading Companies and Distributors,11664.0,25000,B,Medium,255,BB,Medium,385,B,Medium,240,BB,Medium,880,2022-04-19
0000851968,MHK,Mohawk Industries Inc,NYSE,Consumer products,10241.0,42000,A,High,570,B,Medium,298,BB,Medium,303,BBB,High,1171,2022-04-18
0001335258,LYV,Live Nation Entertainment Inc,NYSE,Media,6005.0,11000,BBB,High,492,BB,Medium,310,B,Medium,250,BBB,High,1052,2022-04-18
0001300514,LVS,Las Vegas Sands Corp,NYSE,Hotels Restaurants and Leisure,4218.0,52000,A,High,547,BB,Medium,318,BB,Medium,313,BBB,High,1178,2022-04-18
0000021076,CLX,Clorox Co,NYSE,Consumer products,7341.0,8700,A,High,560,BB,Medium,350,BB,Medium,345,A,High,1255,2022-04-16
0001420529,AACG,ATA Creativity Global,NASDAQ,Diversified Consumer Services,16.0,200,B,Medium,203,B,Medium,200,B,Medium,205,B,Medium,608,2022-07-01
0000006201,AAL,American Airlines Group Inc,NASDAQ,Airlines,17823.0,100100,B,Medium,270,B,Medium,211,B,Medium,265,B,Medium,746,2022-04-16
0000008177,AAME,Atlantic American Corp,NASDAQ,Insurance,55.0,200,B,Medium,220,B,Medium,221,BB,Medium,300,B,Medium,741,2022-04-16
0001158114,AAOI,Applied Optoelectronics Inc,NASDAQ,Communications,50.0,750,BB,Medium,311,B,Medium,256,B,Medium,218,BB,Medium,785,2022-04-16
0000824142,AAON,Aaon Inc,NASDAQ,Building,600.0,4200,A,High,500,BB,Medium,300,B,Medium,223,BBB,High,1023,2022-04-16
0000320193,AAPL,Apple Inc,NASDAQ,Technology,365817.0,154000,BB,Medium,355,B,Medium,281,B,Medium,255,BB,Medium,891,2022-04-16
0000943034,AATC,Autoscope Technologies Corp,NASDAQ,Electrical Equipment,120.0,1000,BBB,High,410,B,Medium,286,B,Medium,240,BBB,High,936,2022-06-11
0001135185,AAWW,Atlas Air Worldwide Holdings Inc,NASDAQ,Logistics and Transportation,1946.0,1900,A,High,520,B,Medium,243,B,Medium,237,BBB,High,1000,2022-04-16
0001844817,AACI,Armada Acquisition Corp I,NASDAQ,Financial Services,0.0,50,B,Medium,205,B,Medium,200,B,Medium,200,B,Medium,605,2022-06-20
0001422142,AADI,Aadi Bioscience Inc,NASDAQ,Biotechnology,5.0,50,B,Medium,200,B,Medium,201,B,Medium,203,B,Medium,604,2022-06-11
0000318306,ABEO,Abeona Therapeutics Inc,NASDAQ,Biotechnology,6.0,80,B,Medium,205,BB,Medium,306,BB,Medium,310,BB,Medium,821,2022-04-16
0001559720,ABNB,Airbnb Inc,NASDAQ,Hotels Restaurants and Leisure,5992.0,6100,A,High,505,A,High,570,BBB,High,400,A,High,1475,2022-06-10
0000907654,ABIO,ARCA Biopharma Inc,NASDAQ,Biotechnology,15.0,100,B,Medium,200,B,Medium,222,B,Medium,290,B,Medium,712,2022-04-16
0000815094,ABMD,ABIOMED Inc,NASDAQ,Health Care,1053.0,1500,A,High,500,BB,Medium,324,BB,Medium,305,BBB,High,1129,2022-04-16
0001576885,ABOS,Acumen Pharmaceuticals Inc,NASDAQ,Biotechnology,5.0,80,B,Medium,205,B,Medium,201,B,Medium,200,B,Medium,606,2022-06-11
0001672688,ABSI,Absci Corp,NASDAQ,Life Sciences Tools and Services,50.0,400,B,Medium,205,B,Medium,224,B,Medium,230,B,Medium,659,2022-06-11
0001642081,ABTX,Allegiance Bancshares Inc,NASDAQ,Banking,280.0,1000,B,Medium,298,BB,Medium,300,BB,Medium,300,BB,Medium,898,2022-04-16
0001447028,ABUS,Arbutus Biopharma Corp,NASDAQ,Biotechnology,20.0,100,B,Medium,203,B,Medium,204,BB,Medium,338,B,Medium,745,2022-04-16
0001173313,ABVC,ABVC Biopharma Inc,NASDAQ,Biotechnology,5.0,50,B,Medium,220,B,Medium,212,B,Medium,205,B,Medium,637,2022-06-11
0001070494,ACAD,ACADIA Pharmaceuticals Inc,NASDAQ,Biotechnology,531.0,500,B,Medium,230,B,Medium,230,BB,Medium,305,BB,Medium,765,2022-04-16
0001914023,ACAC,Acri Capital Acquisition Corp,NASDAQ,Financial Services,0.0,20,B,Medium,200,B,Medium,205,BB,Medium,300,B,Medium,705,2022-06-10
0001481646,ACCD,Accolade Inc,NASDAQ,Health Care,130.0,1000,B,Medium,255,B,Medium,254,B,Medium,235,B,Medium,744,2022-06-10
0001720580,ACET,Adicet Bio Inc,NASDAQ,Biotechnology,15.0,150,B,Medium,215,B,Medium,211,BB,Medium,305,B,Medium,731,2022-04-16
0001703057,ABCL,Abcellera Biologics Inc,NASDAQ,Life Sciences Tools and Services,100.0,500,A,High,540,BB,Medium,354,BB,Medium,345,A,High,1239,2022-06-10
0000351569,ABCB,Ameris Bancorp,NASDAQ,Banking,200.0,800,B,Medium,290,BB,Medium,300,B,Medium,250,BB,Medium,840,2022-04-16
0001813658,ACEV,ACE Convergence Acquisition Corp,NASDAQ,Financial Services,0.0,20,B,Medium,225,B,Medium,211,B,Medium,215,B,Medium,651,2022-06-10
0001830749,ACHL,Achilles Therapeutics PLC,NASDAQ,Biotechnology,300.0,1500,B,Medium,230,B,Medium,288,B,Medium,285,BB,Medium,803,2022-06-10
0001520697,ACHC,Acadia Healthcare Company Inc,NASDAQ,Health Care,3885.0,40000,BB,Medium,330,B,Medium,231,B,Medium,220,BB,Medium,781,2022-04-16
0000935036,ACIW,ACI Worldwide Inc,NASDAQ,Technology,1300.0,4500,A,High,500,BB,Medium,327,BB,Medium,300,BBB,High,1127,2022-04-16
0001113232,ACLS,Axcelis Technologies Inc,NASDAQ,Semiconductors,700.0,2200,A,High,515,BB,Medium,306,B,Medium,260,BBB,High,1081,2022-04-16
0001651625,ACIU,AC Immune SA,NASDAQ,Biotechnology,15.0,100,B,Medium,250,B,Medium,296,BB,Medium,305,BB,Medium,851,2022-04-16
0000949858,ACHV,Achieve Life Sciences Inc,NASDAQ,Biotechnology,20.0,200,B,Medium,215,B,Medium,222,BB,Medium,305,B,Medium,742,2022-06-10
0001680062,ACMR,ACM Research Inc,NASDAQ,Semiconductors,200.0,700,BBB,High,410,B,Medium,232,BB,Medium,325,BBB,High,967,2022-06-10
0001008848,ACOR,Acorda Therapeutics Inc,NASDAQ,Biotechnology,500.0,700,B,Medium,230,BB,Medium,307,BB,Medium,310,BB,Medium,847,2022-04-16
0000715579,ACNB,ACNB Corp,NASDAQ,Banking,140.0,500,B,Medium,220,B,Medium,219,B,Medium,215,B,Medium,654,2022-04-16
0001557746,ACRS,Aclaris Therapeutics Inc,NASDAQ,Pharmaceuticals,20.0,200,B,Medium,230,B,Medium,207,B,Medium,220,B,Medium,657,2022-04-16
0001427925,ACRX,AcelRx Pharmaceuticals Inc,NASDAQ,Pharmaceuticals,70.0,250,B,Medium,200,B,Medium,237,BB,Medium,300,B,Medium,737,2022-04-16
0001823529,ACT,Enact Holdings Inc,NASDAQ,Financial Services,100.0,500,A,High,540,BB,Medium,328,BB,Medium,315,BBB,High,1183,2022-04-20
0000934549,ACTG,Acacia Research Corp,NASDAQ,Financial Services,350.0,250,B,Medium,200,B,Medium,200,B,Medium,275,B,Medium,675,2022-04-16
0001637873,ACVA,ACV Auctions Inc,NASDAQ,Commercial Services and Supplies,80.0,300,B,Medium,235,B,Medium,262,BB,Medium,315,BB,Medium,812,2022-06-10
0001818838,ADAG,Adagene Inc,NASDAQ,Biotechnology,30.0,300,B,Medium,295,BB,Medium,301,BB,Medium,305,BBB,High,901,2022-06-10
0001736243,ACXP,Acurx Pharmaceuticals Inc,NASDAQ,Biotechnology,10.0,150,B,Medium,235,BB,Medium,301,BB,Medium,305,BB,Medium,841,2022-06-11
0000796343,ADBE,Adobe Inc,NASDAQ,Technology,15785.0,26000,B,Medium,200,B,Medium,221,B,Medium,200,B,Medium,621,2022-04-16
0001621227,ADAP,Adaptimmune Therapeutics PLC,NASDAQ,Biotechnology,30.0,300,BB,Medium,365,B,Medium,283,BB,Medium,305,BBB,High,953,2022-04-16
0001368514,ADMA,ADMA Biologics Inc,NASDAQ,Biotechnology,100.0,500,B,Medium,240,B,Medium,264,BB,Medium,320,BB,Medium,824,2022-04-16
0001515156,ADES,Advanced Emissions Solutions Inc,NASDAQ,Chemicals,180.0,450,B,Medium,205,B,Medium,201,BB,Medium,300,B,Medium,706,2022-04-16
0000006281,ADI,Analog Devices Inc,NASDAQ,Semiconductors,7318.0,16000,BB,Medium,350,BB,Medium,318,BB,Medium,300,BBB,High,968,2022-04-16
0001513525,ADIL,Adial Pharmaceuticals Inc,NASDAQ,Pharmaceuticals,10.0,80,B,Medium,200,B,Medium,203,BB,Medium,300,B,Medium,703,2022-06-10
0000887247,ADMP,Adamis Pharmaceuticals Corp,NASDAQ,Pharmaceuticals,20.0,150,B,Medium,285,B,Medium,204,B,Medium,215,B,Medium,704,2022-04-16
0001069308,ACER,Acer Therapeutics Inc,NASDAQ,Pharmaceuticals,15.0,100,B,Medium,223,B,Medium,291,BB,Medium,310,BB,Medium,824,2022-06-10
0001824884,ADOC,Edoc Acquisition Corp,NASDAQ,Financial Services,0.0,20,B,Medium,215,BB,Medium,301,BB,Medium,300,BB,Medium,816,2022-04-16
0001468328,ADUS,Addus Homecare Corp,NASDAQ,Health Care,400.0,6000,B,Medium,210,B,Medium,215,B,Medium,218,B,Medium,643,2022-04-16
0000947484,ACGL,Arch Capital Group Ltd,NASDAQ,Insurance,3244.0,14000,A,High,500,BB,Medium,300,BB,Medium,300,BBB,High,1100,2022-04-16
0001478320,ADPT,Adaptive Biotechnologies Corp,NASDAQ,Life Sciences Tools and Services,200.0,600,B,Medium,260,BB,Medium,348,B,Medium,260,BB,Medium,868,2022-04-16
0000769397,ADSK,Autodesk Inc,NASDAQ,Technology,4390.0,13050,A,High,555,BB,Medium,304,BB,Medium,310,BBB,High,1169,2022-04-16
0000008670,ADP,Automatic Data Processing Inc,NASDAQ,Technology,15882.0,58000,A,High,500,BB,Medium,300,B,Medium,200,BBB,High,1000,2022-07-25
0001726711,ADTX,Aditxt Inc,NASDAQ,Biotechnology,5.0,50,B,Medium,210,B,Medium,224,BB,Medium,305,B,Medium,739,2022-06-10
